Security Code,Security Id,Security Name,Status,Group
500267,MAJESAUT,Majestic Auto Ltd-$,Active,X 
500268,MANALIPETC,Manali Petrochemicals Ltd,Active,B 
500269,MARDIACH,Mardia Chemicals Ltd,Delisted,B 
500270,BARODARY,Baroda Rayon Corporation Ltd,Active,X 
500271,MFSL,Max Financial Services Ltd,Active,A 
500272,MAXWORC-B,Maxworth Orchards (India) Ltd,Delisted,Z 
500273,MCDWLDM,MCDWLDM,Delisted,B 
500274,MESPHAR-B,Mesco Pharmaceuticals Ltd,Delisted,ZP
500275,MTZIND,MTZ Industries Ltd,Delisted,X 
500276,MICROPL-B,Micro Plantae Ltd,Delisted,P 
500277,MIDINDIA,Mid India Industries Ltd,Active,X 
500278,MIDESTI-B,Mideast India Ltd,Delisted,P 
500279,MIRCELECTR,Mirc Electronics Ltd,Active,B 
500280,CENTENKA,Century Enka Ltd,Active,B 
500281,MDRNSYN-B,Modern Syntex India Ltd,Suspended,Y 
500282,MODTHREAD,Modern Thread India Ltd,Active,B 
500283,MDTERYT-B,Modern Terry Towels Ltd,Delisted,P 
500284,LORDSCHLO,Lords Chloro Alkali Ltd,Active,B 
500285,SPICEJET,Spicejet Ltd,Active,A 
500286,MONTA,Montari Industries Ltd,Delisted,Z 
500288,MOREPENLAB,Morepen Laboratories Ltd,Active,A 
500289,MSGF,Morgan Stanley Mutual Fund,Delisted,B 
500290,MRF,MRF Ltd,Active,A 
500292,HEIDELBERG,HeidelbergCement India Ltd,Active,B 
500293,MYSRKIR-B,Mysore Kirloskar Ltd,Delisted,Z 
500294,NCC,NCC Ltd,Active,A 
500295,VEDL,Vedanta Ltd,Active,A 
500296,NAHARSPING,Nahar Spinning Mills Ltd,Active,B 
500297,NATAL,NATAL,Delisted,Z 
500298,NAPEROL,Naperol Investments Ltd,Active,X 
500300,GRASIM,Grasim Industries Ltd,Active,A 
500301,NEPCMICON,NEPC India Ltd,Delisted,Z 
500302,PEL,Piramal Enterprises Ltd,Delisted,A 
500303,ABIRLANUVO,Aditya Birla Nuvo Ltd,Delisted,B 
500304,NIITLTD,NIIT Ltd,Active,B 
500305,JSWISPAT,JSW ISPAT Steel Ltd,Delisted,B 
500306,JAYKAY,Jaykay Enterprises Ltd,Active,B 
500307,NIRLON,Nirlon Ltd,Active,B 
500308,NIRMA,Nirma Ltd,Delisted,B 
500309,NOVAEL-,Nova Electro Magnetics Ltd,Delisted,Z 
500310,NOVOPANIND,Novopan Industries Ltd,Delisted,B 
500311,NUCHEM,Nuchem Ltd,Delisted,T 
500312,ONGC,Oil and Natural Gas Corporation Ltd,Active,A 
500313,OILCOUNTUB,Oil Country Tubular Ltd,Active,B 
500314,ORIENTHOT,Oriental Hotels Ltd,Active,B 
500315,ORIENTBANK,Oriental Bank of Commerce,Delisted,B 
500317,OSWALAGRO,Oswal Agro Mills Ltd,Active,B 
500318,OSSWM,Oswal Spinning & Weaving Mills Ltd,Delisted,Z 
500319,INDSUCR,Indian Sucrose Ltd,Active,X 
500321,PADMINIT,Padmini Technologies Ltd,Delisted,XD
500322,PANCM,Panyam Cements & Mineral Industries Ltd,Active,X 
500323,PAREKHPLAT,Parekh Platinum Ltd,Delisted,T 
500325,RELIANCE,Reliance Industries Ltd,Active,A 
500326,PATHEJA-B,Patheja Forgings & Auto Parts Manufacturers Ltd,Delisted,P 
500327,PILITA,Pil Italica Lifestyle Ltd,Active,B 
500328,PENTFOR-B,Pentafour Products Ltd,Delisted,P 
500329,PENTAGRAPH,Pentamedia Graphics Ltd,Delisted,Z 
500330,RAYMOND,Raymond Ltd,Active,A 
500331,PIDILITIND,Pidilite Industries Ltd,Active,A 
